nazev;tag;proces;kategorie;ulice;cp;psc;kontakt
Retro Komnata;textil;nakoupit udržitelně;lokální dodavatel;Štefánikova;83/14;60200;https://www.retrokomnata.cz/
Salon č.4;textil;nakoupit udržitelně;lokální dodavatel;Čápkova;12/4;60200;http://www.salon4.cz/
Step shop Brno;textil;nakoupit udržitelně;lokální dodavatel;Zámkařství JiRo Jiří Rozsypal;;60200;https://www.facebook.com/stepshopbrno/
Theo;textil;nakoupit udržitelně;lokální dodavatel;Husova;355/13;60200;https://www.facebook.com/theo.clothing/
Ty identity Brno;textil;nakoupit udržitelně;lokální dodavatel;Grohova;104/6;60200;https://www.tyidentity.cz/
Vasky;textil;nakoupit udržitelně;lokální dodavatel;Běhounská;106/3;60200;https://www.vasky.cz/
Wolfgang store;textil;nakoupit udržitelně;lokální dodavatel;Vachova;;60200;https://www.wolfgangstore.com/
Namakko;textil;nakoupit udržitelně;lokální dodavatel;Údolní;;60200;https://www.namakko.cz/
Je tu milo;textil;nakoupit udržitelně;lokální dodavatel;451/4;U Draka;60200;https://www.jetumilo.cz/
MANi Leather;textil;nakoupit udržitelně;lokální dodavatel;Gorkého;;60200;http://manileather.com/
Place Mimi;textil;nakoupit udržitelně;lokální dodavatel;;;60200;https://www.placestore.cz/
Genesis ul. Česká;textil;nakoupit udržitelně;second hand;Česká;;60200;https://www.genesis-eshop.cz/
Genesis ul. Josefská;textil;nakoupit udržitelně;second hand;Josefská;;60200;https://www.genesis-eshop.cz/
Genesis ul. Koželužská;textil;nakoupit udržitelně;second hand;Koželužská;36/2;60200;https://www.genesis-eshop.cz/
Genesis ul. Masarykova;textil;nakoupit udržitelně;second hand;Masarykova;433/23;60200;https://www.genesis-eshop.cz/
Charley Fashion - outlet, second hand;textil;nakoupit udržitelně;second hand;Štefánikova;69/2;60200;http://maloobchod.charley.cz/cs/brno
Textil House ul. Orlí;textil;nakoupit udržitelně;second hand;Orlí;476/15;60200;https://textilehouse.cz/
Textil House vintage (Orlí);textil;nakoupit udržitelně;second hand;Orlí;491/16;60200;https://textilehouse.cz/
oprava obuviA Tašek Zemanová;domacnost;opravit;oprava obuvi;Gorkého;;60200;Není k dispozici
Rychlooprava obuvi- Galerie Orlí;domacnost;opravit;oprava obuvi;Orlí;482/3;60200;https://www.rychlo-oprava-obuvi.cz/
Výroba klíčů a razítek, opravy obuvi - Tkalcovská;domacnost;opravit;oprava obuvi;Zábrdovice;;60200;https://rychlosluzby.cz/
Kožešnictví Red Fox- Karolína Čejková;domacnost;opravit;oprava oděvů;Starobrněnská;282/19;60200;https://www.zlatestranky.cz/profil/H778262
oprava oděvůA Scelování;domacnost;opravit;oprava oděvů;Ponava;530/48d;60200;https://www.zlatestranky.cz/profil/H1065747
Vychodil Milan - Opravy A Prodej Šicích Strojů;domacnost;opravit;oprava spotřebičů;Ponava;489/1;60200;Není k dispozici
AV i servis,s.r.o.;domacnost;opravit;oprava spotřebičů;Trnitá;307/42;60200;http://www.aviservis.cz/opravujeme/
Hrdnivová Milada;domacnost;opravit;oprava spotřebičů;Lidická;699/17;60200;Není k dispozici
Chladservis - Servis spotřebičů;domacnost;opravit;oprava spotřebičů;Křenová;89/19;60200;https://www.chladservis.cz/
PaP servis;domacnost;opravit;oprava spotřebičů;Trnitá;307/42;60200;http://www.pap-servis.cz/
C.B.C. CZ spol. sr.o.;domacnost;opravit;oprava spotřebičů;Gorkého;65/16;60200;https://www.cbc-cz.cz/
Elektro servis Dížka;domacnost;opravit;oprava spotřebičů;Štefánikova;844/13;60200;https://www.servisy-24.cz/servis-793?katalog=drobne-elektro
HVservis;domacnost;opravit;oprava spotřebičů;Hybešova;218/11;60200;https://www.hvshop.cz/
Rtv Servis S.r.o.;domacnost;opravit;oprava spotřebičů;Francouzská;382/48;60200;https://www.rtvservis.cz/index.php/servis-a-opravy
