nazev;tag;proces;kategorie;ulice;cp;psc;kontakt
Issima;textil;opravit;oprava oděvů;Zemědělská;40;61300;
MiPoint;domacnost;opravit;oprava spotřebičů;Merhautova;190;61300;
Petr Svoboda;textil;opravit;oprava obuvi;Provazníkova;1243/27;61300;
Opravna oděvů;textil;opravit;oprava oděvů;Provazníkova;1241/27;61300;
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;Merhautova;63;61300;scuk.cz
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;Merhautova;8/431;61300;scuk.cz
Bedýnky Brno;potraviny;nakoupit udržitelně;bedýnky;Merhautova;92/968;61300;http://eshop.bedynkybrno.cz/
Farma-obchod.cz - výdejní místo;potraviny;nakoupit udržitelně;bedýnky;Dačického;201/16;61400;https://www.farma-obchod.cz/
GOCUP - Cafe Mitte Písečník;potraviny;nakoupit udržitelně;eko-obal;Husovice;1420/15a;61400;https://www.gocup.cz/
Mikrofarma Selská;potraviny;nakoupit udržitelně;lokální dodavatel;Maloměřice;198/3;61400;https://www.mikrofarma.cz/
Kafara;potraviny;nakoupit udržitelně;lokální dodavatel;Obřany;;61400;https://www.kafara.cz/
Dědova dílna;textil;nakoupit udržitelně;lokální dodavatel;Valchařská;24/36;61400;https://www.dedovadilna.cz/
Oprava a Renovace kůže;domacnost;opravit;oprava oděvů;Maloměřice;198;61400;https://oprava-a-renovace-kuze.business.site/
Salmo World s.r.o.;potraviny;nakoupit udržitelně;eko-obal;Karlova;933/7;61400;
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;Fryčajova;16/78;61400;scuk.cz
Badeko - rozvoz bedýnek po Brně a okolí;potraviny;nakoupit udržitelně;bedýnky;Kuklenská;289/1;61500;https://www.badeko.cz/
U vlásku;potraviny;nakoupit udržitelně;eko-obal;Židenice;900/77;61500;https://www.uvlasku.cz/
Perex spol. s r.o.;domacnost;opravit;oprava spotřebičů;Židenice;1796/46;61500;http://www.perex-servis.cz/
ing.Starý,servis elektroniky;domacnost;opravit;oprava spotřebičů;Vinohrady;2619/4;61500;https://www.elektrostary.cz/
Farma Zelenka;potraviny;nakoupit udržitelně;lokální dodavatel;Bubeníčkova;36/505;61500;https://www.krocan.cz/prodejny
RE-USE point ul. Veveří;domacnost;darovat;re-use centrum;Veveří;499/109;61600;https://www.sako.cz/sberna-strediska-a-kontejnery/cz/
Baltazar charitní obchod Purkyňova;textil;nakoupit udržitelně;bazar;Svatopluka Čecha;;61600;https://www.baltazar-bazar.cz/
Dobrej Špajz;potraviny;nakoupit udržitelně;lokální dodavatel;Žabovřesky;3210/2;61600;http://www.dobrejspajz.cz/
PuraVida;textil;nakoupit udržitelně;lokální dodavatel;Žabovřesky;;61600;https://www.puravidashop.cz/
Servis počítačů a notebooků Brno;domacnost;opravit;oprava spotřebičů;Medlánky;;61600;https://www.servis-pocitacu-brno.cz/
Servis tabletů Brno;domacnost;opravit;oprava spotřebičů;Medlánky;;61600;https://www.servis-tabletu-brno.cz/
Leather Service;textil;opravit;oprava oděvů;Minská;;61600;
Mobilní telefony;domacnost;opravit;oprava spotřebičů;Minská;;61600;
Red Piranha ;potraviny;nakoupit udržitelně;eko-obal;Puškinova;1627/1;61600;https://redpiranha.cz
Sly Fox;potraviny;nakoupit udržitelně;eko-obal;Technická;2848/8;61600;https://www.sly-fox.cz/
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;Doležalova;26/3072;61600;scuk.cz
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;Ostrá;12;61600;scuk.cz
GOCUP - Vintage Coffee;potraviny;nakoupit udržitelně;eko-obal;Charbulova;214/38;61800;https://www.gocup.cz/
GOCUP - DRING CAFFE;potraviny;nakoupit udržitelně;eko-obal;Olomoucká;797/80;61800;https://www.gocup.cz/
KNK servis;domacnost;opravit;oprava spotřebičů;Charbulova;248/14;61800;https://knk-servis.webnode.cz/
Jídelna Hájecká;potraviny;nakoupit udržitelně;eko-obal;Hájecká;1068/14;61800;http://jidelnahajecka.cz/index.html
IKEA - druhý život nábytku;domacnost;darovat;re-use centrum;Dolní Heršpice;;61900;https://www.druhyzivotnabytku.cz/
IKEA Circular hub;domacnost;nakoupit udržitelně;bazar;Dolní Heršpice;;61900;https://www.ikea.com/cz/cs/stores/brno/
Elkov a.s.;domacnost;opravit;oprava spotřebičů;Kšírova;701/255;61900;
Farma Ráječek;potraviny;nakoupit udržitelně;lokální dodavatel;Ráječek;557/5b;62000;https://farmarajecek.cz/cz
RE-USE point ul. Hapalova;domacnost;darovat;re-use centrum;Hradecká;;62100;https://www.sako.cz/sberna-strediska-a-kontejnery/cz/
Farmářské produkty z Medlánek;potraviny;nakoupit udržitelně;lokální dodavatel;Vycházková;300/2b;62100;https://produkty-medlanky.webnode.cz/
Youngprimitive;textil;nakoupit udržitelně;lokální dodavatel;Řečkovice;2101/26b;62100;https://www.youngprimitive.cz/
MISTER MINIT;domacnost;opravit;oprava obuvi;Maříkova;;62100;
Včelařství pakostovi - prodej medu;potraviny;nakoupit udržitelně;lokální dodavatel;Libušino údolí;552/110;62300;https://vcelarstvi.pakostovi.cz/
Huhů;textil;nakoupit udržitelně;lokální dodavatel;Kohoutovice;530/11;62300;https://www.huhushop.cz/cs/
Výdejna Scuk ;potraviny;nakoupit udržitelně;lokální dodavatel;Ulička;2/837;62300;scuk.cz
Zvaž to - bezobalový obchod Brno Bohunice;potraviny;nakoupit udržitelně;bezobalový obchod;Dlouhá;;62500;https://www.bezobalovyobchod.cz/
GOCUP - Spital Cafe Mitte;potraviny;nakoupit udržitelně;eko-obal;Starý Lískovec;;62500;https://www.gocup.cz/
Rynek;potraviny;nakoupit udržitelně;lokální dodavatel;Kurská;;62500;https://agrorynek.webnode.cz/
Krejčovství Dotchi Tomáše Dočkala;textil;nakoupit udržitelně;lokální dodavatel;Slatina;1045/19;62700;https://www.tomasdockal.cz/
Český servis;domacnost;opravit;oprava spotřebičů;Slatina;347/6;62700;https://www.ceskyservis.cz/
Na lontu;potraviny;nakoupit udržitelně;bezobalový obchod;Líšeň;2894/6;62800;http://www.nalontu.cz/
Vážím si - Bezobalový obchůdek;potraviny;nakoupit udržitelně;bezobalový obchod;Židenice;;62800;https://m.facebook.com/vazim.si.brno/
Sklizeno Líšeň;potraviny;nakoupit udržitelně;lokální dodavatel;Masarova;2407/7;62800;https://www.sklizeno.cz/o-nas/
LURY secondhand s.r.o.;textil;nakoupit udržitelně;second hand;Wintrova;2530/10;62800;
Opravy praček Brno, Milan Küfhaber;domacnost;opravit;oprava spotřebičů;Vinohrady;4113/4;62800;https://www.opravy-pracek-brno.cz/
Spraveno.cz Brno;domacnost;opravit;oprava spotřebičů;Líšeň;2144/4;62800;https://spraveno.kvisova.cz//
servisvbrne.cz;domacnost;opravit;oprava spotřebičů;Líšeň;2894/6;62800;http://www.servisvbrne.cz/
